subj,trial,block,date,stim,stim_order,response,rt,age,french,english,language,sex,param_index,segment,pitch,stretch
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,7,0.7,-17.30470796,0.90266971
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,8,0.8,-3.21936287,0.65632044
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,9,0.9,34.09717353,1.38813555
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,10,1.0,-34.0267679,1.56070696
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,11,1.1,91.79101104,1.04399467
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,12,1.14141667,44.37260858,0.73913352
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,0,0.0,-57.68537639,1.14128003
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,1,0.1,80.50678374,0.65499836
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,2,0.2,62.08623359,0.36935793
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,3,0.3,-62.11963136,0.45944127
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,4,0.4,40.40813482,1.32957836
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,5,0.5,-1.99659726,1.01029199
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,6,0.6,-98.85876462,0.23624425
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,7,0.7,-17.60870607,0.5152401
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,8,0.8,-73.6406844,0.82690989
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,9,0.9,0.13542401,0.52689837
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,10,1.0,58.10369401,1.52596161
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,11,1.1,-38.91466215,1.06260355
60eb21bd3807b3a1810ea180,10,0,2024-02-27T11:17:09.361Z,french_711.wav,0,pull,592,20,5,4,francias,f,12,1.14141667,22.73847208,0.37076623
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,0,0.0,80.68071625,0.60833614
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,1,0.1,-74.6096102,1.31673181
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,2,0.2,73.86411106,0.17478281
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,3,0.3,64.55158236,0.08969123
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,4,0.4,65.90025627,1.187561
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,5,0.5,50.81800611,1.86233101
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,6,0.6,47.81573035,0.98705671
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,7,0.7,62.25019961,0.81508534
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,8,0.8,-33.502047,0.24174061
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,9,0.9,54.29227419,0.06561792
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,10,1.0,-31.85955495,1.83275675
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,11,1.1,-34.2401342,0.04646604
60eb21bd3807b3a1810ea180,11,0,2024-02-27T11:17:09.361Z,french_912.wav,0,poule,670,20,5,4,francias,f,12,1.14141667,83.50219834,1.51289562
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,0,0.0,-99.04712605,1.87208337
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,1,0.1,17.3799724,1.3828509
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,2,0.2,-1.30355006,1.47231184
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,3,0.3,11.66108417,1.45618748
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,4,0.4,6.35761676,1.81540908
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,5,0.5,-71.86971473,0.63041518
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,6,0.6,20.94588527,0.92124801
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,7,0.7,-13.59137079,0.65821591
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,8,0.8,62.37473981,0.6468689
60eb21bd3807b3a1810ea180,12,0,2024-02-27T11:17:09.361Z,french_891.wav,0,pull,13690,20,5,4,francias,f,9,0.9,64.47380957,0.86634815
